epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,804.458,1.404,1.00899,1.03557,0.31048,0.20856,0.12359,0.02831,2.92219,2.44171,1.40939,0.000594286,0.000594286,0.000594286
67,816.89,1.42901,1.03242,1.03646,0.23453,0.23459,0.12909,0.02908,2.96605,2.49127,1.42947,0.000577782,0.000577782,0.000577782
68,828.627,1.42694,1.11335,1.05124,0.20853,0.20187,0.10581,0.03239,3.01795,2.48793,1.46276,0.000561279,0.000561279,0.000561279
69,840.794,1.35541,1.01179,1.02231,0.20853,0.20187,0.10581,0.03239,3.01795,2.48793,1.46276,0.000544776,0.000544776,0.000544776
70,852.488,1.4756,0.99103,0.99968,0.27448,0.23128,0.13768,0.03975,3.08857,2.45811,1.5021,0.000528272,0.000528272,0.000528272
71,863.639,1.25527,0.9319,0.96141,0.24712,0.23128,0.13485,0.04017,3.10543,2.42864,1.52375,0.000511769,0.000511769,0.000511769
72,874.705,1.3738,0.95994,1.03883,0.24712,0.23128,0.13485,0.04017,3.10543,2.42864,1.52375,0.000495266,0.000495266,0.000495266
73,885.984,1.33578,0.96967,1.00869,0.29033,0.23329,0.13465,0.04264,3.08849,2.42542,1.50676,0.000478762,0.000478762,0.000478762
74,898.081,1.32543,0.93275,0.96675,0.29033,0.23329,0.13465,0.04264,3.08849,2.42542,1.50676,0.000462259,0.000462259,0.000462259
75,909.691,1.22469,0.87868,0.98185,0.26619,0.17914,0.10557,0.03889,3.09227,2.38741,1.52739,0.000445756,0.000445756,0.000445756
76,920.774,1.37776,0.95637,1.07859,0.26308,0.20856,0.10701,0.03842,3.10481,2.41471,1.53688,0.000429253,0.000429253,0.000429253
77,932.943,1.33131,0.97436,0.98166,0.26308,0.20856,0.10701,0.03842,3.10481,2.41471,1.53688,0.000412749,0.000412749,0.000412749
78,945.696,1.23137,0.88424,0.98104,0.25319,0.20856,0.10846,0.03779,3.15094,2.45918,1.55122,0.000396246,0.000396246,0.000396246
79,957.703,1.22409,0.89638,0.97749,0.25219,0.20856,0.11004,0.03745,3.10093,2.48073,1.51282,0.000379743,0.000379743,0.000379743
80,973.464,1.31037,0.89297,0.96991,0.25219,0.20856,0.11004,0.03745,3.10093,2.48073,1.51282,0.000363239,0.000363239,0.000363239
81,988.34,1.19336,0.86164,0.96091,0.21078,0.17914,0.11424,0.04175,3.04061,2.47287,1.48992,0.000346736,0.000346736,0.000346736
82,1003.69,1.34559,1.00264,1.00448,0.21078,0.17914,0.11424,0.04175,3.04061,2.47287,1.48992,0.000330233,0.000330233,0.000330233
83,1016.03,1.17129,0.89215,0.96758,0.27476,0.23128,0.14131,0.04334,3.00034,2.44379,1.46163,0.000313729,0.000313729,0.000313729
84,1028.25,1.24509,0.90742,0.99952,0.29668,0.2607,0.13083,0.04414,2.95293,2.43834,1.42618,0.000297226,0.000297226,0.000297226
85,1039.44,1.15813,0.84765,0.95888,0.29668,0.2607,0.13083,0.04414,2.95293,2.43834,1.42618,0.000280723,0.000280723,0.000280723
86,1050.83,1.14041,0.8515,0.96226,0.34661,0.29011,0.17561,0.05124,2.91278,2.45803,1.40705,0.00026422,0.00026422,0.00026422
87,1062.22,1.3017,0.92377,0.98585,0.30499,0.2607,0.17382,0.05269,2.8989,2.54018,1.40586,0.000247716,0.000247716,0.000247716
88,1075.5,1.1769,0.83525,0.94979,0.30499,0.2607,0.17382,0.05269,2.8989,2.54018,1.40586,0.000231213,0.000231213,0.000231213
89,1087.74,1.38865,0.94651,0.99339,0.2845,0.23128,0.18561,0.05066,2.9031,2.63121,1.39152,0.00021471,0.00021471,0.00021471
90,1101.23,1.15819,0.88336,0.95573,0.2845,0.23128,0.18561,0.05066,2.9031,2.63121,1.39152,0.000198206,0.000198206,0.000198206
91,1116.82,1.37498,1.00829,0.98788,0.33279,0.25401,0.19282,0.0471,2.92832,2.6972,1.4011,0.000181703,0.000181703,0.000181703
92,1132.54,1.24674,0.92765,0.97119,0.35361,0.25401,0.18696,0.04859,2.95353,2.72601,1.4131,0.0001652,0.0001652,0.0001652
93,1146.94,1.3382,0.99284,1.03164,0.35361,0.25401,0.18696,0.04859,2.95353,2.72601,1.4131,0.000148696,0.000148696,0.000148696
94,1157.71,1.28974,0.97732,1.01144,0.38215,0.24863,0.18594,0.04715,2.99547,2.76189,1.42725,0.000132193,0.000132193,0.000132193
95,1168.75,1.18158,0.85154,0.95264,0.35866,0.2246,0.18387,0.04637,3.04219,2.72842,1.44594,0.00011569,0.00011569,0.00011569
96,1179.81,1.12931,0.82564,0.97173,0.35866,0.2246,0.18387,0.04637,3.04219,2.72842,1.44594,9.91865e-05,9.91865e-05,9.91865e-05
97,1191.49,1.22456,0.93657,0.97394,0.40971,0.25384,0.17872,0.04515,3.04456,2.68338,1.44767,8.26832e-05,8.26832e-05,8.26832e-05
98,1202.38,1.17507,0.85712,1.02175,0.40971,0.25384,0.17872,0.04515,3.04456,2.68338,1.44767,6.61799e-05,6.61799e-05,6.61799e-05
99,1213.29,1.19151,0.91987,0.96805,0.33846,0.2246,0.17412,0.04406,3.04744,2.65942,1.45161,4.96766e-05,4.96766e-05,4.96766e-05
100,1225.58,1.36118,1.01651,0.93901,0.34945,0.25401,0.17468,0.04778,3.05181,2.67124,1.45623,3.31733e-05,3.31733e-05,3.31733e-05
